_id,_uuid,timestamp,just_booted,reset_reason,uptime,fw_version,modem_fw_version,rsrp,_timestamp,rpc,_ack_timestamp,_ack_status,response_time_seconds
199087,359746167128144,2025-08-13 05:40:13.321404,t,16.0,216263032.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−79,,,,,
199086,359746167128144,2025-08-13 05:38:58.770629,t,16.0,216188486.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−79,,,,,
199079,359746167128144,2025-08-13 05:10:58.531085,t,16.0,214508202.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−79,,,,,
199076,359746167128144,2025-08-13 05:06:21.417557,t,16.0,214231067.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−79,,,,,
199072,359746167128144,2025-08-13 04:58:24.448173,t,16.0,213754088.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80,,,,,
199067,359746167128144,2025-08-13 04:45:45.091967,t,16.0,212994709.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−79,,,,,
199062,359746167128144,2025-08-13 04:33:06.158287,t,16.0,212235700.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80,,,,,
199059,359746167128144,2025-08-13 04:22:49.431513,t,16.0,211618926.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78,,,,,
199058,359746167128144,2025-08-13 04:20:54.313287,t,16.0,211503832.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78,,,,,
199056,359746167128144,2025-08-13 04:11:59.361007,t,16.0,210968849.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78,,,,,
199051,359746167128144,2025-08-13 04:02:59.110547,t,16.0,210428598.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78,,,,,
199042,359746167128144,2025-08-13 03:40:39.799550,t,16.0,209089332.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78,,,,,
199039,359746167128144,2025-08-13 03:36:02.158168,t,16.0,208811594.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78,,,,,
