_id,_uuid,timestamp,just_booted,reset_reason,uptime,fw_version,modem_fw_version,rsrp,_timestamp,rpc,_ack_timestamp,_ack_status,response_time_seconds
225958,351901930025949,2025-09-25 01:40:51.686996,t,16.0,220843975.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−79,,,,,
225855,351901930025949,2025-09-24 23:06:37.606025,t,16.0,211589600.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77,,,,,
225648,351901930025949,2025-09-24 20:43:43.134784,t,16.0,203014870.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−79,,,,,
225632,351901930025949,2025-09-24 20:32:20.418151,t,16.0,202332152.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80,,,,,
225591,351901930025949,2025-09-24 19:56:55.770447,t,16.0,200207438.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78,,,,,
225519,351901930025949,2025-09-24 18:49:02.574508,t,16.0,196134078.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80,,,,,
225464,351901930025949,2025-09-24 17:52:52.820724,t,16.0,192764194.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80,,,,,
225449,351901930025949,2025-09-24 17:39:53.298340,t,16.0,191984681.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−81,,,,,
225415,351901930025949,2025-09-24 17:04:29.451708,t,16.0,189860745.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−81,,,,,
225377,351901930025949,2025-09-24 16:32:06.496692,t,16.0,187917735.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−82,,,,,
225195,351901930025949,2025-09-24 14:19:15.687417,t,16.0,179946651.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80,,,,,
225137,351901930025949,2025-09-24 13:38:29.295469,t,16.0,177500177.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80,,,,,
225098,351901930025949,2025-09-24 13:11:25.290052,t,16.0,175876138.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−79,,,,,
225091,351901930025949,2025-09-24 13:04:27.215871,t,16.0,175458036.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−81,,,,,
225089,351901930025949,2025-09-24 13:03:33.291748,t,16.0,175404134.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−81,,,,,
225077,351901930025949,2025-09-24 12:53:33.135104,t,16.0,174803945.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80,,,,,
224804,351901930025949,2025-09-24 08:56:03.694065,t,16.0,160554050.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−79,,,,,
224745,351901930025949,2025-09-24 07:59:54.892195,t,16.0,157185129.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−79,,,,,
224668,351901930025949,2025-09-24 07:04:44.811254,t,16.0,153874952.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77,,,,,
224556,351901930025949,2025-09-24 05:28:03.784087,t,16.0,148073737.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−76,,,,,
224555,351901930025949,2025-09-24 05:26:26.417686,t,16.0,147976366.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77,,,,,
224484,351901930025949,2025-09-24 04:09:52.734814,t,16.0,143382550.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78,,,,,
224127,351901930025949,2025-09-23 21:48:22.896446,t,16.0,120491979.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−79,,,,,
223959,351901930025949,2025-09-23 19:22:32.172447,t,16.0,111740986.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80,,,,,
223947,351901930025949,2025-09-23 19:15:14.891309,t,16.0,111303703.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80,,,,,
223743,351901930025949,2025-09-23 16:25:39.365297,t,16.0,101127841.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80,,,,,
223704,351901930025949,2025-09-23 16:04:56.972138,t,16.0,99885407.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−79,,,,,
223527,351901930025949,2025-09-23 13:53:49.933630,t,16.0,92018116.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80,,,,,
223521,351901930025949,2025-09-23 13:50:32.814808,t,16.0,91820980.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80,,,,,
223470,351901930025949,2025-09-23 13:11:07.536626,t,16.0,89455623.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−79,,,,,
223376,351901930025949,2025-09-23 12:01:55.462618,t,16.0,85303431.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80,,,,,
223375,351901930025949,2025-09-23 12:01:01.373724,t,16.0,85249341.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−84,,,,,
223175,351901930025949,2025-09-23 09:08:05.691346,t,16.0,74873339.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−81,,,,,
223170,351901930025949,2025-09-23 09:00:06.890284,t,16.0,74394502.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78,,,,,
223164,351901930025949,2025-09-23 08:56:29.287593,t,16.0,74176888.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−79,,,,,
223027,351901930025949,2025-09-23 07:01:25.135195,t,16.0,67272516.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−76,,,,,
222971,351901930025949,2025-09-23 06:10:15.698633,t,16.0,64202987.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78,,,,,
222891,351901930025949,2025-09-23 05:03:03.530706,t,16.0,60170698.0,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80,,,,,
