  _id , _uuid ,date,time,just_booted, reset_reason,uptime,fw_version,modem_fw_version,rsrp
233554,359404230082423,2025-10-02,04:00:57.802497,t,0,26,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−88
233474,359404230082423,2025-10-02,01:32:39.264696,t,0,20,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−87
232415,359404230082423,2025-10-01,05:07:54.598133,t,16,161,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−92
231969,359404230082423,2025-09-30,04:01:02.792438,t,0,31,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−95
230880,359404230082423,2025-09-29,04:00:52.707844,t,0,21,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−93
229781,359404230082423,2025-09-28,07:09:32.308416,t,0,11341,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−96
229660,359404230082423,2025-09-28,04:00:48.789981,t,0,17,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−96
228500,359404230082423,2025-09-27,04:01:08.077174,t,0,36,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−92
227322,359404230082423,2025-09-26,04:01:06.632236,t,0,34,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−96
227315,359404230082423,2025-09-26,03:39:22.471295,t,0,26,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−94
227295,359404230082423,2025-09-26,03:15:54.315018,t,0,27,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−97
226050,359404230082423,2025-09-25,04:01:05.351139,t,0,33,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−96
224726,359404230082423,2025-09-24,07:48:06.395869,t,0,13854,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−95
224671,359404230082423,2025-09-24,07:08:10.629308,t,0,11458,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−98
224474,359404230082423,2025-09-24,03:57:32.792756,t,0,20,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−97
222829,359404230082423,2025-09-23,04:00:58.589313,t,0,26,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−95
221605,359404230082423,2025-09-22,11:56:16.200967,t,0,28545,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−85
221394,359404230082423,2025-09-22,04:00:43.333563,t,0,11,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−96
220948,359404230082423,2025-09-21,15:04:15.822017,t,0,39824,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−108
220598,359404230082423,2025-09-21,04:01:04.481847,t,0,32,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−97
