  _id , _uuid ,timestamp,just_booted, reset_reason,uptime,fw_version,modem_fw_version,rsrp,_timestamp,rpc   ,_ack_timestamp,_ack_status
233554,359404230082423,2025-10-02 04:00:57.802497,t,0.0,26.0,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−88,,,,
233474,359404230082423,2025-10-02 01:32:39.264696,t,0.0,20.0,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−87,,,,
232415,359404230082423,2025-10-01 05:07:54.598133,t,16.0,161.0,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−92,,,,
231969,359404230082423,2025-09-30 04:01:02.792438,t,0.0,31.0,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−95,,,,
230880,359404230082423,2025-09-29 04:00:52.707844,t,0.0,21.0,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−93,,,,
229781,359404230082423,2025-09-28 07:09:32.308416,t,0.0,11341.0,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−96,,,,
229660,359404230082423,2025-09-28 04:00:48.789981,t,0.0,17.0,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−96,,,,
228500,359404230082423,2025-09-27 04:01:08.077174,t,0.0,36.0,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−92,,,,
227322,359404230082423,2025-09-26 04:01:06.632236,t,0.0,34.0,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−96,,,,
227315,359404230082423,2025-09-26 03:39:22.471295,t,0.0,26.0,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−94,,,,
227295,359404230082423,2025-09-26 03:15:54.315018,t,0.0,27.0,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−97,,,,
226050,359404230082423,2025-09-25 04:01:05.351139,t,0.0,33.0,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−96,,,,
224726,359404230082423,2025-09-24 07:48:06.395869,t,0.0,13854.0,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−95,,,,
224671,359404230082423,2025-09-24 07:08:10.629308,t,0.0,11458.0,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−98,,,,
224474,359404230082423,2025-09-24 03:57:32.792756,t,0.0,20.0,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−97,,,,
222829,359404230082423,2025-09-23 04:00:58.589313,t,0.0,26.0,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−95,,,,
221605,359404230082423,2025-09-22 11:56:16.200967,t,0.0,28545.0,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−85,,,,
221394,359404230082423,2025-09-22 04:00:43.333563,t,0.0,11.0,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−96,,,,
220948,359404230082423,2025-09-21 15:04:15.822017,t,0.0,39824.0,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−108,,,,
220598,359404230082423,2025-09-21 04:01:04.481847,t,0.0,32.0,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−97,,,,
220075,359404230082423,2025-09-20 12:37:57.685508,t,2.0,18.0,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−97,,,,
219806,359404230082423,2025-09-20 04:01:07.683975,t,0.0,35.0,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−96,,,,
219602,359404230082423,2025-09-19 19:51:56.645607,t,0.0,25.0,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−95,,,,
219009,359404230082423,2025-09-19 04:00:44.861794,t,0.0,12.0,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−96,,,,
218694,359404230082423,2025-09-18 17:50:57.684036,t,2.0,18.0,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−92,,,,
218603,359404230082423,2025-09-18 15:31:33.521089,t,2.0,33.0,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−95,,,,
218157,359404230082423,2025-09-18 04:01:05.123164,t,0.0,32.0,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−99,,,,
217931,359404230082423,2025-09-17 19:27:17.368752,t,0.0,19.0,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−95,,,,
217406,359404230082423,2025-09-17 04:00:47.682600,t,0.0,15.0,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−97,,,,
216710,359404230082423,2025-09-16 04:01:06.078258,t,0.0,33.0,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−97,,,,
216707,359404230082423,2025-09-16 03:55:01.102581,t,0.0,6.0,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−96,,,,
216092,359404230082423,2025-09-15 04:00:58.646182,t,0.0,25.0,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−97,,,,
215545,359404230082423,2025-09-14 04:00:48.782783,t,0.0,15.0,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−95,,,,
214927,359404230082423,2025-09-13 04:00:45.098060,t,0.0,12.0,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−94,,,,
214360,359404230082423,2025-09-12 04:00:52.219820,t,0.0,19.0,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−96,,,,
213744,359404230082423,2025-09-11 06:44:00.822603,t,2.0,2905.0,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−99,,,,
213234,359404230082423,2025-09-10 04:00:56.388604,t,0.0,22.0,v0.0.3-45-g6b77131c-dirty,mfw_nrf91x1_2.0.1,−97,,,,
