  _id , _uuid ,datetime,just_booted, reset_reason,uptime,fw_version,modem_fw_version,rsrp
199087,359746167128144,2025-08-13 05:40:13.321404,t,16,216263032,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−79
199086,359746167128144,2025-08-13 05:38:58.770629,t,16,216188486,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−79
199079,359746167128144,2025-08-13 05:10:58.531085,t,16,214508202,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−79
199076,359746167128144,2025-08-13 05:06:21.417557,t,16,214231067,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−79
199072,359746167128144,2025-08-13 04:58:24.448173,t,16,213754088,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80
199067,359746167128144,2025-08-13 04:45:45.091967,t,16,212994709,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−79
199062,359746167128144,2025-08-13 04:33:06.158287,t,16,212235700,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80
199059,359746167128144,2025-08-13 04:22:49.431513,t,16,211618926,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
199058,359746167128144,2025-08-13 04:20:54.313287,t,16,211503832,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
199056,359746167128144,2025-08-13 04:11:59.361007,t,16,210968849,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
199051,359746167128144,2025-08-13 04:02:59.110547,t,16,210428598,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
199042,359746167128144,2025-08-13 03:40:39.799550,t,16,209089332,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
199039,359746167128144,2025-08-13 03:36:02.158168,t,16,208811594,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
199038,359746167128144,2025-08-13 03:33:27.036387,t,16,208656458,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
199033,359746167128144,2025-08-13 03:22:29.640263,t,16,207999096,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−83
